paper_id,title,doi,year,journal,article_type,reaction_family_slot,purpose_in_benchmark,expected_difficult_fields,notes
P001,,,,,protocol,eNRR validation,"Protocol / validation paper anchoring source-span selection and control annotation.","isotope_validation; blank_control; contamination_control; nox_screening; reliability_label","Fill bibliographic metadata after manual paper selection."
P002,,,,,perspective,eNRR perspective,"Perspective or challenge paper defining why eNRR evidence is difficult to validate.","evidence_type; source_grounding; reliability_label; review_summary_vs_primary_claim","Use for contextual or review-summary spans only."
P003,,,,,reassessment,contamination / reassessment,"Contamination or reassessment paper covering false positives and control failures.","nitrogen_source; contamination_control; nox_screening; reliability_label; evidence_type","Prefer spans that directly discuss contamination pathways."
P004,,,,,primary_research,aqueous eNRR,"Aqueous eNRR primary claim for performance extraction and validation assessment.","nh3_yield_unit; potential_reference; isotope_validation; blank_control; reliability_label","Select a paper with explicit reported NH3 metrics."
P005,,,,,primary_research,debated eNRR,"Debated eNRR claim where reported performance and validation status may be contested.","source_span; isotope_validation; contamination_control; reliability_label; gold_notes","Use uncertainty notes to separate source claims from curator judgment."
P006,,,,,reassessment,reassessment / negative control,"Reassessment or negative-control paper testing whether claimed NH3 originates from artifacts.","evidence_type; negative_result; contamination_control; nox_screening; reliability_label","Prioritize negative or control-experiment spans."
P007,,,,,primary_research,Li-mediated NRR,"Li-mediated NRR primary paper for nonaqueous N2-to-NH3 extraction.","reaction_family; electrolyte; current_density_mA_cm2; nh3_yield_unit; isotope_validation","Capture Li-mediated conditions without over-normalizing."
P008,,,,,primary_research,continuous-flow / reactor LiNRR,"Continuous-flow or reactor-focused LiNRR paper for reactor and stability extraction.","reactor_type; membrane; stability_hours; current_density_mA_cm2; reliability_label","Select spans with reactor configuration details."
P009,,,,,primary_research,nitrate-to-ammonia,"Nitrate-to-ammonia primary paper for NO3RR metrics and validation context.","nitrogen_source; potential_value; faradaic_efficiency_percent; nh3_yield_unit; nox_screening","Avoid mislabeling nitrate feed as contamination."
P010,,,,,primary_research,nitrite / NOx-to-ammonia,"Nitrite or NOx-to-ammonia paper covering NO2RR, NORR, or mixed nitrogen-source systems.","reaction_family; nitrogen_source; mixed_vs_unclear; detection_method; reliability_label","Use mixed or unclear only when the span warrants it."
